num_days pd ps temp percentage_leaching				
0	1	40	37	1.87668532
2	1	40	37	10.30950448
4	1	40	37	14.14551016
6	1	40	37	22.11761721
10	1	40	37	29.95011453
15	1	40	37	37.67105454
20	1	40	37	43.80909855
0	1	40	37	2.598110992
2	1	40	37	12.23128026
4	1	40	37	17.21547812
6	1	40	37	24.24217504
10	1	40	37	31.59952086
15	1	40	37	38.85074589
20	1	40	37	45.48633985
0	1	87	37	3.592993418
2	1	87	37	16.59332323
4	1	87	37	21.84369292
6	1	87	37	28.72730073
10	1	87	37	35.72453173
15	1	87	37	47.1200129
20	1	87	37	49.35898765
0	1	87	37	5.458262055
2	1	87	37	19.85393894
4	1	87	37	26.25771985
6	1	87	37	31.77687089
10	1	87	37	37.38866015
15	1	87	37	45.07535011
20	1	87	37	50.05563368
0	1	250	37	1.072624605
2	1	250	37	12.09421482
4	1	250	37	16.47300226
6	1	250	37	22.99888733
10	1	250	37	31.13648192
15	1	250	37	39.65985169
20	1	250	37	49.47211067
0	1	250	37	1.272144742
2	1	250	37	11.53345994
4	1	250	37	15.35380846
6	1	250	37	21.4453159
10	1	250	37	30.1430891
15	1	250	37	39.98263939
20	1	250	37	48.17307692
0	0.5	87	37	0.827981385
2	0.5	87	37	23.81045043
5	0.5	87	37	35.58463931
10	0.5	87	37	48.02317043
15	0.5	87	37	54.40720592
20	0.5	87	37	59.80697106
25	0.5	87	37	67.86249601
30	0.5	87	37	70.35168097
0	0.5	87	37	0.627373945
2	0.5	87	37	27.89817768
5	0.5	87	37	35.05872162
10	0.5	87	37	46.42408449
15	0.5	87	37	55.66002928
20	0.5	87	37	59.22888457
25	0.5	87	37	68.60100322
30	0.5	87	37	74.39195831
0	0.75	87	37	0.585259068
2	0.75	87	37	25.67032097
5	0.75	87	37	33.73550117
10	0.75	87	37	42.56614283
15	0.75	87	37	46.30733567
20	0.75	87	37	53.89453739
25	0.75	87	37	59.15708487
30	0.75	87	37	68.34768187
0	0.75	87	37	1.009742237
2	0.75	87	37	23.84605236
5	0.75	87	37	32.53056047
10	0.75	87	37	41.08183769
15	0.75	87	37	45.50991621
20	0.75	87	37	52.66002204
25	0.75	87	37	58.38822523
30	0.75	87	37	67.17985445
0	0.75	87	37	0.585259068
2	0.75	87	37	25.67032097
5	0.75	87	37	33.73550117
10	0.75	87	37	42.56614283
15	0.75	87	37	46.30733567
20	0.75	87	37	53.89453739
25	0.75	87	37	59.15708487
30	0.75	87	37	62.62935139
0	0.75	87	37	1.009742237
2	0.75	87	37	23.84605236
5	0.75	87	37	32.53056047
10	0.75	87	37	41.08183769
15	0.75	87	37	45.50991621
20	0.75	87	37	52.66002204
25	0.75	87	37	58.38822523
30	0.75	87	37	61.55503204
0	0.5	87	37	1.85276465
2	0.5	87	37	23.8309461
5	0.5	87	37	39.68643626
10	0.5	87	37	53.62740294
15	0.5	87	37	49.8862101
20	0.5	87	37	66.04244832
25	0.5	87	37	62.36823335
30	0.5	87	37	71.73774247
0	0.5	87	37	1.39718461
2	0.5	87	37	27.91357389
5	0.5	87	37	38.72745658
10	0.5	87	37	51.32951811
15	0.5	87	37	50.99941286
20	0.5	87	37	65.20829105
25	0.5	87	37	63.00758938
30	0.5	87	37	73.97608658
0	1	250	30	0.294387341
5	1	250	30	19.00112355
10	1	250	30	26.21385804
15	1	250	30	36.03590275
22	1	250	30	39.75708922
30	1	250	30	49.79724695
0	1	250	30	0.16162762
5	1	250	30	19.37410334
10	1	250	30	27.96466845
15	1	250	30	37.1223709
22	1	250	30	41.32371046
30	1	250	30	50.26786657
0	1	250	25	0.1115658
5	1	250	25	15.23264456
10	1	250	25	21.65787894
15	1	250	25	30.89475561
22	1	250	25	34.32371046
30	1	250	25	40.26786657
0	1	250	25	0.1000762
5	1	250	25	13.10334
10	1	250	25	19.266845
15	1	250	25	27.3123709
22	1	250	25	33.51171046
30	1	250	25	39.78475867
